rank,narrator,chains,in_degree,out_degree,betweenness,pagerank_source,pagerank_collector,community,unresolved
1,النبي,43,28,23,0.121008,0.0182460,0.0191418,0,0
2,سفيان,681,178,47,0.072083,0.0074126,0.0182600,4,0
3,شعبة,760,186,82,0.062028,0.0066840,0.0229003,5,0
4,عبد الله,457,70,62,0.057083,0.0083795,0.0067585,4,0
5,الزهري,598,139,45,0.052389,0.0094736,0.0129381,1,0
6,ابي هريرة,770,9,130,0.045983,0.0195099,0.0024530,7,0
7,ابن عباس,548,32,82,0.043135,0.0156097,0.0018472,2,0
8,ابن شهاب,625,145,34,0.042564,0.0070649,0.0155595,1,0
9,عايشة,641,26,83,0.037184,0.0153370,0.0037587,3,0
10,محمد,175,61,17,0.035301,0.0017017,0.0050257,0,0
11,ابراهيم,174,28,30,0.029244,0.0038290,0.0025424,4,0
12,انس بن مالك,342,28,86,0.028294,0.0079492,0.0016477,0,0
13,يحيي,384,79,42,0.027639,0.0025752,0.0084633,6,0
14,ابن عمر,381,20,59,0.024550,0.0096463,0.0055432,11,0
15,هشام,366,25,70,0.023223,0.0042276,0.0056939,3,0
16,الاعمش,323,49,41,0.023154,0.0046224,0.0074128,4,0
17,مالك,606,88,33,0.022534,0.0019098,0.0178721,8,0
18,ابن جريج,177,54,37,0.022481,0.0026337,0.0071764,2,0
19,انس,351,30,60,0.022439,0.0069449,0.0039338,0,0
20,الليث,407,36,34,0.020711,0.0020864,0.0082586,1,0
21,يحيي بن سعيد,144,63,33,0.019948,0.0011053,0.0034670,6,0
22,اسماعيل,269,33,37,0.019880,0.0014863,0.0060387,8,0
23,سليمان,125,50,30,0.019801,0.0020078,0.0022513,5,0
24,نافع,408,30,49,0.019696,0.0060528,0.0059435,11,0
25,علي,92,21,19,0.018034,0.0029022,0.0021902,4,0
26,عمرو,177,69,21,0.016471,0.0015746,0.0039040,4,0
27,اسحاق,122,48,11,0.016068,0.0007507,0.0047726,10,0
28,يونس,237,16,36,0.015944,0.0052581,0.0064340,1,0
29,عبد الله بن محمد,171,40,7,0.015219,0.0012590,0.0055335,3,0
30,مسدد,388,39,4,0.015080,0.0008296,0.0094525,6,0
31,ابا هريرة,198,3,80,0.015035,0.0063422,0.0015340,1,0
32,ابو نعيم,178,45,3,0.013122,0.0010751,0.0053000,4,0
33,ايوب,231,25,30,0.012585,0.0028367,0.0051450,0,0
34,الاوزاعي,60,19,22,0.012388,0.0018633,0.0022940,6,0
35,ابي سعيد,38,3,23,0.011845,0.0019562,0.0002106,7,0
36,علي بن عبد الله,255,50,3,0.011207,0.0013523,0.0070124,4,0
37,قتادة,270,41,32,0.011136,0.0044313,0.0037115,0,0
38,خالد,85,24,25,0.011017,0.0008883,0.0019728,0,0
39,عبيد الله,172,30,43,0.010890,0.0025057,0.0024577,11,0
40,عمر,42,6,19,0.010741,0.0071560,0.0004186,2,0
41,عروة,200,31,30,0.010358,0.0032721,0.0017555,3,0
42,الحسن,41,17,19,0.009569,0.0024406,0.0021515,0,0
43,سعيد بن جبير,130,9,46,0.009286,0.0035058,0.0006912,2,0
44,عطاء,99,19,22,0.009137,0.0018289,0.0031554,2,0
45,موسي بن اسماعيل,206,27,3,0.009105,0.0004828,0.0046706,9,0
46,عبد الله بن عمرو,48,4,26,0.008935,0.0019967,0.0033119,2,0
47,ابي سلمة,127,25,28,0.008887,0.0026776,0.0013772,7,0
48,الشعبي,73,24,40,0.008845,0.0025860,0.0015506,9,0
49,عبد الرحمن,43,17,20,0.008842,0.0011260,0.0009203,4,0
50,سعيد,78,19,32,0.008557,0.0019249,0.0019698,0,0
51,ابي اسحاق,129,25,18,0.008001,0.0027294,0.0027003,5,0
52,موسي,58,19,5,0.007949,0.0003272,0.0012437,9,0
53,ابن ابي مليكة,71,25,19,0.007888,0.0018587,0.0021638,2,0
54,موسي بن عقبة,79,19,32,0.007809,0.0016753,0.0014414,11,0
55,قتيبة,142,32,1,0.007764,0.0004177,0.0031942,1,0
56,ابو عاصم,65,21,9,0.007366,0.0009449,0.0023433,2,0
57,ابو اسامة,143,26,27,0.007281,0.0007995,0.0022692,12,0
58,عبد الله بن مسلمة,135,18,1,0.007116,0.0003339,0.0034737,8,0
59,همام,130,24,28,0.007075,0.0020382,0.0022730,0,0
60,منصور,160,30,18,0.006608,0.0016841,0.0024173,4,0
61,ابي سعيد الخدري,94,3,43,0.006557,0.0037139,0.0001757,8,0
62,سالم,105,11,21,0.006438,0.0030463,0.0008724,11,0
63,جرير,125,20,22,0.006326,0.0009398,0.0020126,4,0
64,ابي قلابة,66,17,9,0.006294,0.0012150,0.0011586,0,0
65,عكرمة,133,8,34,0.006250,0.0029099,0.0007572,2,0
